B+ Execution Time (ms),Clustering Execution Time (ms),B+ Avg Score,Clustering Avg Score,B+ Max Score,Clustering Max Score,Number of Operators,File
2301.2890815734863,12719.633102416992,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1080016/question/5.xml
2303.650379180908,12777.496337890625,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1080016/question/6.xml
2349.7605323791504,12947.330713272095,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1080016/question/7.xml
399.078369140625,3793.2472229003906,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1081020/question/1.xml
140.1846408843994,11424.171924591064,0.7238195346650833,0.761835899432136,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1081020/question/5.xml
123.60644340515137,12689.603805541992,0.7033587810693999,0.6793483741973756,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1081020/question/6.xml
132.51233100891113,118.80898475646973,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1081020/question/7.xml
127.7923583984375,122.19738960266113,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1081020/question/8.xml
434.51523780822754,565.4253959655762,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1081364/question/0.xml
316.32542610168457,12270.154237747192,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1081364/question/1.xml
559.2787265777588,17593.149185180664,0.5654972528270275,0.6561315087105317,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1081364/question/2.xml
185.32896041870117,17022.263765335083,0.5215112402484475,0.57498813081337,1,1,13,./../../Downloads/dataset_full/dataset_full/math/1081364/question/3.xml
196.90275192260742,12719.488382339478,0.6280966822382962,0.6865774191468182,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1081364/question/4.xml
