File,Number of Operators,B+ Execution Time 1,B+ Execution Time 2,B+ Execution Time 3,B+ Execution Time 4,Average B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,Fastest Approach,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,Best Scoring Approach
1029813/question/6.xml,6,130.27453422546387,157.18626976013184,139.04857635498047,129.3966770172119,138.97651433944702,96895.41220664978,717.6065444946289,140.7163143157959,731.9478988647461,B+-Tree,0.5179248403291272,0.7405641716102647,0.5984270819604304,0.5179248403291272,0.5984270819604304,Sequential
1029813/question/8.xml,4,113.49368095397948,117.91300773620604,105.7276725769043,112.79606819152832,112.48260736465454,92211.82703971864,761.2159252166748,113.739013671875,805.4866790771484,B+-Tree,0.5737777549664643,0.7826148099765872,0.6521835315878561,0.5737777549664643,0.6521835315878561,Sequential
1029813/question/9.xml,4,91.95184707641602,89.14852142333984,72.8769302368164,69.81420516967773,80.9478759765625,78068.9971446991,1100.2702713012695,99.54214096069336,1149.2812633514404,B+-Tree,0.6502678571428571,0.8384259259259259,0.7575045787545788,0.6502678571428571,0.7575045787545788,Sequential
1030204/question/3.xml,1,2128.9196014404297,1992.1550750732424,1952.522039413452,2129.823923110962,2050.8551597595215,72034.73687171936,8103.156328201294,1953.8493156433103,8575.17409324646,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1034156/question/1.xml,6,274.49917793273926,256.8049430847168,236.738920211792,239.1319274902344,251.7937421798706,84131.1731338501,13872.5004196167,247.61343002319336,14370.600938796995,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1034156/question/2.xml,6,355.1592826843262,381.3462257385254,349.3530750274658,370.02015113830566,363.96968364715576,85279.1497707367,14024.621486663818,306.3538074493408,14178.17497253418,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1034156/question/3.xml,6,1309.7147941589355,1282.013177871704,1186.187744140625,1219.245672225952,1249.2903470993042,88472.34416007996,14848.353862762451,1182.481050491333,14798.290729522703,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1038340/question/1.xml,5,705.3909301757812,738.0251884460449,689.6255016326904,704.3142318725586,709.3389630317688,86186.27452850342,4271.439790725708,674.7093200683594,4238.054275512695,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1038340/question/2.xml,3,423.3407974243164,466.66836738586426,408.524751663208,399.51467514038086,424.5121479034424,90180.39846420288,4631.240129470825,375.8721351623535,4547.429323196411,B-Tree,0.7017661505063992,0.9303837052062204,0.8434259259259259,0.7017661505063992,0.8434259259259259,Sequential
1038340/question/3.xml,3,421.5073585510254,420.6960201263428,356.08768463134766,371.870756149292,392.54045486450195,93863.95049095154,4697.340965270996,375.20790100097656,4689.296245574951,B+-Tree,0.7112587326753479,0.9314259796806966,0.8485253456221198,0.7112587326753479,0.8485253456221198,Sequential
