File,Number of Operators,B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Sequential Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000010/Bachmann–Howard_ordinal/0.xml,3,1840.1546478271484,329204.6957015991,18318.153619766235,1829.073429107666,18774.240493774414,0.7442976080348883,0.8223120356247676,1,0.7442976080348883,1,1,1,1,1,1
MathArticles/wpmath0000009/Content_(measure_theory)/19.xml,3,2593.3938026428223,305104.4132709503,69885.39958000183,2641.216516494751,67992.12431907654,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000004/Space_hierarchy_theorem/52.xml,4,9922.083139419556,337037.96219825745,78842.41247177124,10066.820621490479,78687.26134300232,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Equation_of_state/125.xml,5,3561.8555545806885,426831.46953582764,25323.060274124146,3453.4218311309814,25762.615442276,0.8299424187403728,0.873023451258526,0.8318543120299657,0.8299424187403728,0.8318543120299657,1,1,1,1,1
MathArticles/wpmath0000008/Strict_differentiability/6.xml,19,1593.8169956207275,725290.2569770813,198395.76959609985,1579.1172981262207,197110.25261878967,0.713730444083057,0.7967193658575449,0.7909011965716336,0.713730444083057,0.7909011965716336,1,1,1,1,1
MathArticles/wpmath0000005/Green–Kubo_relations/20.xml,12,685.0912570953369,697394.6702480316,183586.63964271545,703.8354873657227,182961.3742828369,0.578288224599354,0.7090955560572768,0.7090955560572768,0.578288224599354,0.7090955560572768,1,1,1,1,1
MathArticles/wpmath0000001/Waveplate/4.xml,1,702.0480632781982,236516.86453819275,1562.5054836273193,703.1183242797852,1625.8394718170166,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000004/Periodic_points_of_complex_quadratic_mappings/83.xml,14,1778.7420749664307,726791.7516231537,47400.40135383606,1781.6417217254639,47301.071882247925,0.6288272800165602,0.6775500968334405,0.6623338884704755,0.6288272800165602,0.6623338884704755,1,1,1,1,1
MathArticles/wpmath0000012/Helly_metric/14.xml,1,7985.250234603882,276370.7926273346,36735.42809486389,7596.047401428223,38217.95320510864,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Mathematical_principles_of_reinforcement/31.xml,4,1654.8547744750977,338076.1592388153,46035.03894805908,1627.2101402282715,45565.372467041016,0.9175344892190064,0.9526086956521739,0.9571859903381642,0.9175344892190064,0.9571859903381642,1,1,1,1,1
MathArticles/wpmath0000012/Hill_yield_criterion/64.xml,17,1422.663927078247,1017566.7560100555,272670.254945755,1375.298023223877,271503.6041736603,0.5326524841973872,0.5788289087930948,0.5757700203836206,0.5326524841973872,0.5757700203836206,1,1,1,1,1
MathArticles/wpmath0000001/Maxwell-Boltzmann_distribution/17.xml,16,699.1074085235596,684348.2007980347,4564.023971557617,718.7504768371582,5112.242698669434,0.5916550828412303,0.6039790987410563,0.5722425836374039,0.5916550828412303,0.5722425836374039,1,1,1,1,1
MathArticles/wpmath0000004/Wave_vector/33.xml,4,4032.0076942443848,441727.089881897,60606.2376499176,4005.2318572998047,60127.33554840088,0.6856693949405714,0.7612647797791654,0.7540831069960541,0.6856693949405714,0.7540831069960541,1,1,1,1,1
MathArticles/wpmath0000002/Mathematical_fallacy/25.xml,5,731.9843769073486,374226.3734340668,22386.30199432373,671.9317436218262,22540.223121643066,0.6020479283452607,0.7102609967193301,0.7017967287993696,0.6020479283452607,0.7017967287993696,1,1,1,1,1
MathArticles/wpmath0000013/Forms_of_energy/30.xml,2,2981.491804122925,341961.288690567,20649.888038635254,3000.7495880126953,21037.890911102295,0.8479164280784601,0.8998229607813512,0.8750589055768382,0.8479164280784601,0.8750589055768382,1,1,1,1,1
MathArticles/wpmath0000010/Portal_Chemistry__Useful_equations_and_links/16.xml,9,779.0400981903076,1044056.8106174469,17383.260488510132,781.2457084655762,17492.91753768921,0.4423234782208409,0.535474564964038,0.5055795690508367,0.4423234782208409,0.5055795690508367,1,1,1,1,1
MathArticles/wpmath0000003/Directional_derivative/15.xml,3,559.6303939819336,306974.4198322296,890.6228542327881,578.5832405090332,921.875,0.8493209191219461,0.9534110950777618,0.8883102527197521,0.8493209191219461,0.8883102527197521,1,1,1,1,1
MathArticles/wpmath0000004/Landau_damping/7.xml,13,2003.4663677215576,582919.8064804077,38408.04743766785,1876.725196838379,38013.42701911926,0.6214717710953612,0.7178886325823252,0.6894974212285122,0.6214717710953612,0.6894974212285122,1,1,1,1,1
MathArticles/wpmath0000004/Intersection_homology/9.xml,11,5171.5404987335205,622584.8321914673,157418.40934753418,5111.454963684082,157943.2351589203,0.6464730240147721,0.6920717269336247,0.6900183626868414,0.6464730240147721,0.6900183626868414,1,1,1,1,1
MathArticles/wpmath0000016/Monte_Carlo_tree_search/27.xml,1,485.0354194641113,247650.95782279968,624.9966621398926,453.36413383483887,656.2826633453369,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000015/List_of_equations_in_gravitation/9.xml,1,7331.580400466919,266439.74471092224,35652.03499794006,7329.997777938843,36418.41506958008,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000014/Singular_submodule/5.xml,2,8529.050827026367,284029.1516780853,61280.083417892456,8503.751039505005,60959.04469490051,0.8896323529411765,1,1,0.8896323529411765,1,1,1,1,1,1
MathArticles/wpmath0000004/Cauchy_product/83.xml,1,840.8420085906982,243712.91375160217,1001.9662380218506,828.2358646392822,1375.722885131836,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000016/Slice_theorem_(differential_geometry)/0.xml,7,449.770450592041,415729.91275787354,4831.290245056152,484.8051071166992,5830.130577087402,0.6011124327925172,0.7366410937103208,0.6916180089276504,0.6011124327925172,0.6916180089276504,1,1,1,1,1
MathArticles/wpmath0000015/Quantized_state_systems_method/23.xml,10,824.298620223999,461563.5304450989,115781.03065490723,750.3988742828369,114829.84256744385,0.6783885980682925,0.8433960773522436,0.8267437010016464,0.6783885980682925,0.8267437010016464,1,1,1,1,1
MathArticles/wpmath0000002/Multilinear_map/19.xml,4,828.3021450042725,354673.0160713196,21665.73715209961,859.9097728729248,21757.436513900757,0.7005096058597909,0.7262748691367112,0.7240796374677954,0.7005096058597909,0.7240796374677954,1,1,1,1,1
MathArticles/wpmath0000008/Compact_closed_category/24.xml,15,552.4423122406006,707696.7854499817,1328.1097412109375,687.5035762786865,1408.324956893921,0.5931230756451544,0.7022294325266922,0.6525613103062826,0.5931230756451544,0.6525613103062826,1,1,1,1,1
MathArticles/wpmath0000016/Lieb-Robinson_bounds/34.xml,5,1861.1383438110352,541123.829126358,134251.69849395752,1719.3784713745117,135788.06710243225,0.7274537703764634,0.8048283810380678,0.8048283810380678,0.7274537703764634,0.8048283810380678,1,1,1,1,1
MathArticles/wpmath0000003/Projective_linear_group/10.xml,20,793.7192916870117,823759.5553398132,225947.88122177124,750.0057220458984,224970.1006412506,0.697529592321259,0.7153348187313693,0.7121312792068379,0.697529592321259,0.7121312792068379,1,1,1,1,1
MathArticles/wpmath0000014/Depth_of_noncommutative_subrings/15.xml,15,703.1576633453369,622001.7411708832,159570.44553756714,734.673261642456,159447.2393989563,0.6866234438981071,0.7105882949663203,0.7105882949663203,0.6866234438981071,0.7105882949663203,1,1,1,1,1
MathArticles/wpmath0000007/Cauchy_condensation_test/28.xml,3,4295.272588729858,325050.23550987244,73374.74060058594,4375.547647476196,73010.06817817688,0.9427955082742316,1,1,0.9427955082742316,1,1,1,1,1,1
MathArticles/wpmath0000004/Barycentric_coordinate_system/106.xml,3,405.7497978210449,320062.21318244934,18335.491180419922,437.50905990600586,18492.116928100586,1,0.9201831689613644,0.904130911386092,1,0.904130911386092,1,1,1,1,1
MathArticles/wpmath0000014/Twisted_Poincaré_duality/3.xml,7,530.4453372955322,440335.34836769104,107540.77196121216,547.5432872772217,108371.03462219238,0.6394314971671281,0.8051856376725393,0.7880845900543694,0.6394314971671281,0.7880845900543694,1,1,1,1,1
MathArticles/wpmath0000004/F-statistics/0.xml,14,686.0404014587402,784658.7190628052,207597.98860549927,703.535795211792,205901.4232158661,0.5530457721123334,0.657055871834214,0.655617185151988,0.5530457721123334,0.655617185151988,1,1,1,1,1
