File,Original Average Score,Separated Average Score,Subscript Sensitve Average Score,Original Execution Time,Separated Execution Time,Subscript Sensitive Execution Time,Original Top 10 Average Score,Separated Top 10 Average Score,Subscript Sensitive Top 10 Average Score,Original Top 10 Max Score,Separated Top 10 Max Score,Subscript Sensitve Top 10 Max Score,Original Number of Results,Separated Number of Results,Subscript Sensitive Number of Results
MathArticles/wpmath0000007/Carry-save_adder/0.xml,0.816411829563238,0.7124455746122269,0.7707043946370531,516.5936946868896,486.4251613616944,418.8969135284424,0.5082796393901075,0.5556290222465196,0.5407655721864126,0.6069444444444445,1.0,0.630701754385965,61,25,61
MathArticles/wpmath0000005/Shekel_function/3.xml,0.575091731440432,0.5368306676860051,0.5491910048421182,894.913911819458,799.8452186584473,789.7458076477051,0.4565581003372246,0.5136353680016725,0.5101372546432079,0.5014499814921756,1.0,1.0,40,17,34
MathArticles/wpmath0000013/Reduced_dynamics/3.xml,0.6893061097127089,0.6065416919766111,0.7656781720952844,531.9695472717285,516.925573348999,476.5827655792236,0.5496817277288264,0.5875337172572739,0.6024912963857231,0.6432291666666667,1.0,1.0,86,15,115
MathArticles/wpmath0000002/Conjunctive_normal_form/247.xml,0.7886425834701697,0.7886425834701697,0.7886425834701697,252.4054050445557,320.13607025146484,251.91426277160645,0.6324346928426543,0.6324346928426543,0.6278812003581273,0.6725862068965518,0.6725862068965518,0.6725862068965518,105,92,96
MathArticles/wpmath0000001/Continuum_mechanics/82.xml,0.5545762905893897,0.5710144322286915,0.5629534404851491,699.2666721343994,719.8951244354248,604.6268939971924,0.5543929052968902,0.556551482244797,0.5505081547031583,1.0,1.0,1.0,11,14,14
MathArticles/wpmath0000004/Downhill_creep/3.xml,0.6953118544078758,0.6426332677029127,0.6471556864503866,925.201416015625,756.4821243286133,619.6348667144775,0.4952011448092215,0.560918714950842,0.4992278057223638,0.564086175841495,0.7512680577849117,0.5789594356261023,247,52,53
MathArticles/wpmath0000003/Discretization/38.xml,0.4012536449662406,0.3968891479549434,0.3968891479549434,781.9201946258545,797.3456382751465,699.5725631713867,0.3976924895861505,0.3968891479549434,0.3968891479549434,1.0,1.0,1.0,11,10,10
MathArticles/wpmath0000014/Streeter–Phelps_equation/26.xml,0.7587184308861059,0.7280318072337844,0.7397665807352953,4265.134572982788,818.0027008056641,1998.8012313842771,0.487444155967864,0.4608847319388338,0.4721182675443195,0.6333002645502646,0.5643925729153001,0.5003001628001628,2422,267,1653
MathArticles/wpmath0000008/Varifold/5.xml,0.6454748598669889,0.6738848066542453,0.6236976953412436,438.2150173187256,454.93197441101074,509.9585056304932,0.6454748598669889,0.6302256587845712,0.6236976953412436,1.0,1.0,1.0,10,13,10
MathArticles/wpmath0000001/Bernoulli_number/86.xml,0.5998006779480229,0.4959076228870373,0.580752254917918,2868.629217147827,423.80547523498535,617.8905963897705,0.4516341160896759,0.4816060774734319,0.5151507314350287,1.0,1.0,1.0,674,13,35
MathArticles/wpmath0000002/Conjunctive_normal_form/84.xml,0.8279283472884785,0.8279283472884785,0.8447158910120354,391.91699028015137,407.5326919555664,471.8050956726074,0.6387015383935877,0.7257557430541753,0.7453892411074847,0.7537037037037037,1.0,1.0,41,36,38
MathArticles/wpmath0000012/Yeoh_(hyperelastic_model)/47.xml,0.7312950892264084,0.8495690291720465,0.8440681811421343,469.3527221679688,455.4882049560547,529.2253494262695,0.6341726258845176,0.8430957647783286,0.7138943132493223,1.0,1.0,1.0,16,11,15
MathArticles/wpmath0000014/Hamiltonian_optics/41.xml,0.6355709152048095,0.622800878445503,0.6263199417802511,408.9381694793701,438.77553939819336,476.4540195465088,0.5244026999855037,0.5838953765156514,0.5539852084897007,0.5872939560439561,1.0,0.6681318681318681,25,22,16
MathArticles/wpmath0000004/Resistance_distance/17.xml,0.8293901100269453,0.8161275713731797,0.8177156119497715,2491.6388988494878,596.949577331543,718.0845737457275,0.5940525068919523,0.6278327339125114,0.600264732276245,0.6693137463629266,0.716227640284244,0.716227640284244,3119,337,276
MathArticles/wpmath0000016/Mean_field_particle_methods/98.xml,0.5989487103570824,0.5957384820233247,0.6031658594404946,579.9336433410645,580.2640914916992,596.0817337036133,0.595078227981542,0.5957384820233247,0.5913641772637072,1.0,1.0,1.0,11,10,14
MathArticles/wpmath0000016/Poisson_wavelet/39.xml,0.9769543258673694,0.9827104377104378,0.9827104377104378,1771.1739540100098,439.6364688873291,491.6205406188965,0.5401301948415685,0.6107236852981534,0.6174613071539632,0.9098484848484848,0.9661616161616162,0.9661616161616162,2524,107,97
MathArticles/wpmath0000013/Multislice/32.xml,0.8873042806866336,0.8873042806866336,0.8873042806866336,1646.780014038086,657.5045585632324,736.7103099822998,0.7704359653771419,0.7100088606259791,0.7117498166983305,0.886437908496732,0.886437908496732,0.886437908496732,2820,365,473
MathArticles/wpmath0000006/Watt's_curve/4.xml,0.6319440057043872,0.5977418169081036,0.5896950520739062,502.5870800018311,532.8199863433838,594.7048664093018,0.5283023344810149,0.576171131337472,0.570729530664683,0.5883712121212121,1.0,1.0,54,15,16
MathArticles/wpmath0000003/Degenerate_conic/15.xml,1.0,1.0,1.0,1881.6094398498533,1553.5709857940674,2207.37361907959,0.600930735930736,0.6541774891774892,0.6342548586165607,0.6493506493506493,1.0,1.0,4261,3443,4863
MathArticles/wpmath0000014/Computer_for_operations_with_functions/66.xml,1.0,1.0,1.0,2366.699457168579,1614.5081520080566,2266.3307189941406,0.6997193727519304,0.7825828157349896,0.7778686892817327,0.9027777777777776,0.9027777777777776,0.9027777777777776,7505,4754,6571
MathArticles/wpmath0000006/Portal_Gravitation__Mass/0.xml,1.0,1.0,1.0,972.7659225463868,486.8032932281494,543.5600280761719,0.6576787135278515,0.623795866489832,0.6136291998231653,0.7458333333333333,0.7120689655172414,0.7120689655172414,2517,798,915
MathArticles/wpmath0000014/Class_kappa_function/3.xml,1.0,1.0,1.0,1661.278486251831,580.3654193878174,722.2900390625,0.7704359653771419,0.714069011001919,0.7169727577719448,0.886437908496732,0.886437908496732,0.886437908496732,2820,365,473
MathArticles/wpmath0000016/Shearlet/49.xml,0.9401687327823692,0.8832440476190476,0.8777440476190477,721.5836048126221,375.02288818359375,452.8367519378662,0.5206993264119355,0.5962137637138406,0.5499553877425105,0.741140642303433,0.7246031746031747,0.7134920634920635,636,21,25
MathArticles/wpmath0000004/Neutron_transport/41.xml,1.0,1.0,1.0,2213.6991024017334,1534.175157546997,2465.268850326538,0.7150063714633677,0.7058397047967009,0.7285119333287626,0.7860805860805861,0.7860805860805861,0.8428571428571429,4380,2686,4863
MathArticles/wpmath0000001/Finite_field/337.xml,1.0,1.0,1.0,1614.6531105041504,1318.6757564544678,2018.4006690979004,0.8370833333333333,0.8763636363636363,0.8055044231131188,1.0,1.0,1.0,4261,3443,4863
MathArticles/wpmath0000014/De_Donder–Weyl_theory/0.xml,0.6043939872310795,0.6024188501894029,0.5491040616379992,455.31535148620605,454.1516304016113,458.4951400756836,0.5846641281564623,0.577488415047737,0.5491040616379992,1.0,1.0,1.0,21,18,10
MathArticles/wpmath0000003/Skolem_normal_form/10.xml,0.6250567920120381,0.6250567920120381,0.6250567920120381,438.0805492401123,470.2274799346924,494.0907955169678,0.6250567920120381,0.6250567920120381,0.6250567920120381,1.0,1.0,1.0,10,10,10
MathArticles/wpmath0000013/Head_grammar/11.xml,0.6496128380962702,0.6435234402107661,0.6599123113666954,595.8473682403564,597.8937149047852,594.423770904541,0.5199757788701976,0.5465925552099367,0.6157088190106643,0.5725596866901215,0.6267966992865335,1.0,49,17,18
MathArticles/wpmath0000004/Rotation_matrix/220.xml,0.6119289371266043,0.5754819633568847,0.575489492152975,5925.974845886231,988.4345531463624,1045.2239513397217,0.4572134192732306,0.4383578429452909,0.4512643933357387,0.5090989729225023,0.5158293917119421,0.5071349206349207,2712,278,198
MathArticles/wpmath0000004/Poynting's_theorem/16.xml,0.6115088833390675,0.6079499946933025,0.6034858086785813,564.6445751190186,579.8187255859375,675.7497787475586,0.6115088833390675,0.6079499946933025,0.6031810906835438,1.0,1.0,1.0,10,10,11
MathArticles/wpmath0000013/Cnoidal_wave/60.xml,0.7523324113429772,0.7527238785037991,0.7431686730709341,470.3934192657471,438.3387565612793,517.8229808807373,0.637790854791658,0.7150356855973714,0.6693808380602494,0.73687343358396,0.7658882783882784,0.7658882783882784,48,14,23
MathArticles/wpmath0000006/Bifurcation_theory/3.xml,0.6721086453061484,0.6733219244444189,0.666973122512252,567.5225257873535,649.7802734375,710.0303173065186,0.5883377382769934,0.6370242525813564,0.6194188624127007,0.6398970747562297,1.0,1.0,20,25,18
MathArticles/wpmath0000002/Autonomous_system_(mathematics)/28.xml,0.752092999313002,0.739537128937312,0.7437357559478582,2519.484758377075,1280.4665565490725,1701.6677856445312,0.545152127131402,0.5612328971594363,0.5548685322253852,0.6173673899939722,0.6158730158730159,0.6158730158730159,2045,820,1096
