File,Number of Operators,B+ Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000016/Convenient_vector_space/168.xml,2,6710.6688022613525,57589.32590484619,6533.465623855591,56390.066146850586,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Sprague-Grundy_theorem/65.xml,3,4091.2091732025146,19537.54186630249,3941.126585006714,19052.55961418152,1,1,1,1,1,1,1,1
MathArticles/wpmath0000008/Crooks_fluctuation_theorem/0.xml,2,6517.390727996826,57224.33304786682,6503.793001174927,56630.664348602295,1,1,1,1,1,1,1,1
MathArticles/wpmath0000016/Weil–Brezin_Map/116.xml,5,857.3732376098633,5835.8001708984375,812.8156661987305,5552.73962020874,0.6899183718695413,0.7510183021162304,0.6899183718695413,0.7510183021162304,1,1,1,1
MathArticles/wpmath0000004/Old_quantum_theory/77.xml,2,1027.7395248413086,6737.314224243164,937.7872943878174,6422.892808914185,1,1,1,1,1,1,1,1
MathArticles/wpmath0000004/Hotelling's_T-squared_distribution/31.xml,6,621.1223602294922,27401.275873184204,640.6211853027344,27168.4627532959,0.681692213209831,0.8094717347563454,0.681692213209831,0.8094717347563454,1,1,1,1
MathArticles/wpmath0000007/Chow_ring/10.xml,9,573.8298892974854,121805.44948577881,609.3716621398926,121229.19964790344,0.694696974988139,0.8609183957604261,0.694696974988139,0.8609183957604261,1,1,1,1
MathArticles/wpmath0000016/Monin–Obukhov_similarity_theory/27.xml,2,8545.735359191895,62311.20848655701,8424.479246139526,61842.19670295715,1,1,1,1,1,1,1,1
MathArticles/wpmath0000011/Classical_Hamiltonian_quaternions/11.xml,1,7324.99623298645,35110.639572143555,7143.431186676025,34436.126708984375,1,1,1,1,1,1,1,1
MathArticles/wpmath0000010/Fréchet_distribution/1.xml,6,703.101396560669,2783.8406562805176,734.7805500030518,2625.565767288208,0.5128636748650345,0.6723370463894387,0.5128636748650345,0.6723370463894387,1,1,1,1
MathArticles/wpmath0000003/Spin–statistics_theorem/22.xml,10,1932.8670501708984,124138.13805580139,1937.896966934204,123690.98973274231,0.6834789683423724,0.825660184328915,0.6834789683423724,0.825660184328915,1,1,1,1
MathArticles/wpmath0000004/Convex_conjugate/92.xml,3,948.0478763580322,17772.86458015442,953.4323215484619,17085.15214920044,1,1,1,1,1,1,1,1
MathArticles/wpmath0000005/Matrix_calculus/109.xml,3,654.6449661254883,4250.3321170806885,656.2490463256836,4173.581600189209,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Reed–Solomon_error_correction/240.xml,1,2075.746536254883,13402.526140213013,2000.6589889526367,13162.637710571289,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Redshift/9.xml,2,2637.462854385376,17855.775833129883,2532.4151515960693,17444.178104400635,0.9485960144927537,1,0.9485960144927537,1,1,1,1,1
