B+ Execution Time (ms),Sequential Execution Time (ms),Difference Between Results,Number of Operators,Same Top Result,Top Result Included,File
404.74486351013184,103789.21318054199,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/3.xml
645.40696144104,102377.98547744751,16,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/4.xml
2164.712905883789,71605.65519332886,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/5.xml
2172.1420288085938,71963.01627159119,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/6.xml
2190.3412342071533,105279.93059158325,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/7.xml
390.81883430480957,71823.40621948242,149,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/1.xml
160.0191593170166,87145.1985836029,10,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/5.xml
165.8487319946289,94965.00754356384,8,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/6.xml
126.9676685333252,68109.71474647522,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/7.xml
134.06801223754883,68592.60511398315,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/8.xml
378.12113761901855,64498.77452850342,7,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/0.xml
288.55180740356445,68593.4488773346,426,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/1.xml
557.5313568115234,91986.9475364685,18,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/2.xml
194.0929889678955,131602.98132896423,18,13,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/3.xml
197.48473167419434,98231.50253295898,17,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/4.xml
